,bike_date,km_score,tripduration_x,bike_trip_count_x,holiday_x,weekend_x,tripduration_x,bike_trip_count_x,holiday_y,weekend_y
332,2015-11-29,0.617047185181,21.7137490701,154,0,0,21.7137490701,154,-0.298842584326,-0.630377459427
61,2015-03-03,0.613466069596,13.4408163265,54,0,0,13.4408163265,54,-0.298842584326,-0.630377459427
251,2015-09-09,0.609198744485,17.2063771142,552,0,0,17.2063771142,552,-0.298842584326,-0.630377459427
154,2015-06-04,0.609070867567,18.6686686268,431,0,0,18.6686686268,431,-0.298842584326,-0.630377459427
198,2015-07-18,0.604711641842,24.6696801914,420,0,1,24.6696801914,420,-0.298842584326,1.58200497029
222,2015-08-11,0.604213092805,16.0322522412,282,0,0,16.0322522412,282,-0.298842584326,-0.630377459427
96,2015-04-07,0.602000345467,21.5409994669,175,0,0,21.5409994669,175,-0.298842584326,-0.630377459427
364,2015-12-31,0.601079223562,21.2598924797,241,1,0,21.2598924797,241,3.33707552497,-0.630377459427
296,2015-10-24,0.597217221196,23.071079883,208,0,1,23.071079883,208,-0.298842584326,1.58200497029
240,2015-08-29,0.597070085339,25.3183994509,403,0,1,25.3183994509,403,-0.298842584326,1.58200497029
87,2015-03-29,0.595217272702,18.1047619048,44,0,0,18.1047619048,44,-0.298842584326,-0.630377459427
223,2015-08-12,0.590256801727,24.116979805,634,0,0,24.116979805,634,-0.298842584326,-0.630377459427
173,2015-06-23,0.589928234466,17.3675452421,491,0,0,17.3675452421,491,-0.298842584326,-0.630377459427
243,2015-09-01,0.589769169396,17.6307287104,569,0,0,17.6307287104,569,-0.298842584326,-0.630377459427
54,2015-02-24,0.588980492583,12.0943977591,93,0,0,12.0943977591,93,-0.298842584326,-0.630377459427
291,2015-10-19,0.586391329367,17.7000138084,471,0,0,17.7000138084,471,-0.298842584326,-0.630377459427
137,2015-05-18,0.585467220672,17.9781449568,459,0,0,17.9781449568,459,-0.298842584326,-0.630377459427
103,2015-04-14,0.585364483131,19.2035542276,258,0,0,19.2035542276,258,-0.298842584326,-0.630377459427
155,2015-06-05,0.58195965728,18.8245162359,426,0,1,18.8245162359,426,-0.298842584326,1.58200497029
104,2015-04-15,0.581456742936,20.7444673875,408,0,0,20.7444673875,408,-0.298842584326,-0.630377459427
60,2015-03-02,0.581422290541,11.7213994102,113,0,0,11.7213994102,113,-0.298842584326,-0.630377459427
241,2015-08-30,0.578026788848,26.9484837737,476,0,0,26.9484837737,476,-0.298842584326,-0.630377459427
5,2015-01-06,0.573705660879,12.4696712018,86,0,0,12.4696712018,86,-0.298842584326,-0.630377459427
305,2015-11-02,0.57090094152,25.8796283627,602,0,0,25.8796283627,602,-0.298842584326,-0.630377459427
203,2015-07-23,0.569848524808,19.081226718,609,0,0,19.081226718,609,-0.298842584326,-0.630377459427
174,2015-06-24,0.569090826163,19.7254130811,620,0,0,19.7254130811,620,-0.298842584326,-0.630377459427
338,2015-12-05,0.567486374992,23.5277556716,219,0,1,23.5277556716,219,-0.298842584326,1.58200497029
216,2015-08-05,0.562157249615,20.1539347498,624,0,0,20.1539347498,624,-0.298842584326,-0.630377459427
339,2015-12-06,0.559043238927,21.1851093282,146,0,0,21.1851093282,146,-0.298842584326,-0.630377459427
42,2015-02-12,0.557622912309,11.7437832009,126,0,0,11.7437832009,126,-0.298842584326,-0.630377459427
35,2015-02-05,0.556692302124,12.165074224,103,0,0,12.165074224,103,-0.298842584326,-0.630377459427
238,2015-08-27,0.554252589232,18.2982989188,583,0,0,18.2982989188,583,-0.298842584326,-0.630377459427
286,2015-10-14,0.550729363991,18.5801943621,591,0,0,18.5801943621,591,-0.298842584326,-0.630377459427
3,2015-01-04,0.549283168402,17.5806122449,50,0,0,17.5806122449,50,-0.298842584326,-0.630377459427
