,taxi_date,total_amount,geometry
52167609,2015-05-31,20.8,POINT (-73.97279357910156 40.75629806518555)
52167753,2015-05-31,63.35,POINT (-73.97933197021484 40.76147842407227)
52169325,2015-05-31,40.84,POINT (-73.97434997558594 40.75625991821289)
52169326,2015-05-31,5.8,POINT (-73.97910308837891 40.75509643554688)
52170068,2015-05-31,52.8,POINT (-73.97203063964845 40.75984954833984)
52170121,2015-05-31,19.3,POINT (-73.97214508056641 40.75991821289063)
52170566,2015-05-31,14.8,POINT (-73.97548675537109 40.75508117675781)
52170846,2015-05-31,6.96,POINT (-73.97547149658203 40.75559997558594)
52170947,2015-05-31,49.18,POINT (-73.97198486328125 40.75704193115234)
52170949,2015-05-31,12.8,POINT (-73.97537994384766 40.75374221801758)
52196735,2015-05-31,102.3,POINT (-73.97540283203125 40.75761413574219)
52197168,2015-05-31,28.8,POINT (-73.97928619384766 40.7619743347168)
52197539,2015-05-31,37.34,POINT (-73.97885131835938 40.76200103759766)
52198060,2015-05-31,12.8,POINT (-73.97416687011719 40.75637435913085)
52198065,2015-05-31,11.15,POINT (-73.97264099121094 40.75598526000977)
52198127,2015-05-31,10.8,POINT (-73.97708892822266 40.75862884521485)
52198129,2015-05-31,8.3,POINT (-73.97269439697266 40.75620269775391)
52199191,2015-05-31,11.3,POINT (-73.97962951660156 40.75959014892577)
52200139,2015-05-31,44.84,POINT (-73.974365234375 40.75685119628906)
52200332,2015-05-31,9.8,POINT (-73.97493743896483 40.75516891479492)
