,taxi_date,total_amount,geometry
12867906,2015-02-09,7.8,POINT (-73.97332000732422 40.75878524780273)
12867911,2015-02-09,12.09,POINT (-73.97301483154298 40.75553512573241)
12867916,2015-02-09,11.3,POINT (-73.97474670410156 40.75600051879883)
12868052,2015-02-09,8.8,POINT (-73.97474670410156 40.7593879699707)
12868053,2015-02-09,8.3,POINT (-73.97829437255859 40.75730133056641)
12868062,2015-02-09,14.3,POINT (-73.97750854492188 40.75844192504883)
12868063,2015-02-09,9.3,POINT (-73.97476959228516 40.75983428955078)
12868458,2015-02-09,13.5,POINT (-73.97614288330078 40.75977325439453)
12868463,2015-02-09,18.3,POINT (-73.97789764404298 40.75728607177734)
12868569,2015-02-09,19.1,POINT (-73.97333526611328 40.75761795043945)
12868887,2015-02-09,5.8,POINT (-73.97663879394531 40.76288604736328)
12869105,2015-02-09,10.55,POINT (-73.97719573974609 40.75537109375)
12869109,2015-02-09,9.8,POINT (-73.98007202148438 40.75991439819336)
12869115,2015-02-09,8.8,POINT (-73.97254180908203 40.75570678710938)
12869195,2015-02-09,23.8,POINT (-73.97690582275391 40.76323318481445)
12869361,2015-02-09,11.0,POINT (-73.97586822509766 40.75577926635742)
12869362,2015-02-09,8.8,POINT (-73.97945404052734 40.76194381713867)
12869364,2015-02-09,9.35,POINT (-73.97421264648438 40.75982666015625)
12869467,2015-02-09,8.3,POINT (-73.97783660888672 40.75826644897461)
12869471,2015-02-09,9.8,POINT (-73.97773742675781 40.75833892822266)
12870394,2015-02-09,7.56,POINT (-73.97605895996094 40.75526809692383)
12870763,2015-02-09,15.36,POINT (-73.97486114501955 40.76163101196289)
12870831,2015-02-09,10.55,POINT (-73.97258758544923 40.76175689697266)
12870833,2015-02-09,8.15,POINT (-73.97470092773438 40.76012802124024)
12870835,2015-02-09,12.25,POINT (-73.97551727294923 40.75630569458008)
12872045,2015-02-09,8.5,POINT (-73.97664642333984 40.75698089599609)
12872050,2015-02-09,14.3,POINT (-73.97732543945312 40.75776672363281)
12872478,2015-02-09,12.88,POINT (-73.97862243652342 40.75423049926758)
12874899,2015-02-09,17.16,POINT (-73.97895812988281 40.75599670410156)
12882620,2015-02-09,9.75,POINT (-73.97669982910156 40.75886917114258)
12887190,2015-02-09,6.8,POINT (-73.97884368896483 40.76222610473633)
12887497,2015-02-09,12.96,POINT (-73.97611236572266 40.75860977172852)
12888618,2015-02-09,16.0,POINT (-73.97305297851562 40.75779342651367)
12888629,2015-02-09,5.3,POINT (-73.97739410400391 40.7584114074707)
12893125,2015-02-09,7.3,POINT (-73.97881317138672 40.75640869140625)
12893416,2015-02-09,13.3,POINT (-73.97315979003906 40.75730514526367)
12893426,2015-02-09,12.8,POINT (-73.97572326660156 40.7549934387207)
12893427,2015-02-09,10.3,POINT (-73.97768402099609 40.75883102416992)
12893428,2015-02-09,9.3,POINT (-73.97568511962891 40.75564575195313)
12894209,2015-02-09,7.3,POINT (-73.97409057617188 40.75423049926758)
12894214,2015-02-09,7.3,POINT (-73.97841644287109 40.75783920288085)
12894226,2015-02-09,14.76,POINT (-73.97484588623048 40.76305389404297)
12894740,2015-02-09,17.16,POINT (-73.97141265869139 40.75743865966797)
12895141,2015-02-09,21.96,POINT (-73.97623443603516 40.7551155090332)
12896589,2015-02-09,8.3,POINT (-73.97365570068358 40.75448226928711)
12896742,2015-02-09,26.6,POINT (-73.97269439697266 40.75947570800781)
12897970,2015-02-09,24.1,POINT (-73.97482299804686 40.76191329956055)
12898110,2015-02-09,10.35,POINT (-73.97615814208984 40.75666046142577)
12898727,2015-02-09,14.76,POINT (-73.97604370117188 40.76131820678711)
12899678,2015-02-09,9.3,POINT (-73.97938537597656 40.76171112060547)
12900103,2015-02-09,17.25,POINT (-73.9720458984375 40.7607536315918)
12900109,2015-02-09,21.63,POINT (-73.97377014160156 40.75502014160156)
12900116,2015-02-09,9.3,POINT (-73.97750091552734 40.76019668579102)
12900202,2015-02-09,15.96,POINT (-73.97207641601562 40.75720977783203)
12900204,2015-02-09,9.8,POINT (-73.98054504394531 40.75738906860352)
12900350,2015-02-09,25.3,POINT (-73.97336578369139 40.75960540771485)
12900363,2015-02-09,11.8,POINT (-73.9722900390625 40.75979614257813)
12900364,2015-02-09,19.75,POINT (-73.97788238525391 40.75775146484375)
12900368,2015-02-09,14.75,POINT (-73.97373199462891 40.75793075561523)
12901340,2015-02-09,7.8,POINT (-73.97247314453125 40.75673675537109)
12901346,2015-02-09,12.95,POINT (-73.98104858398438 40.75931549072266)
12901353,2015-02-09,25.05,POINT (-73.97575378417969 40.75484085083008)
12901454,2015-02-09,8.8,POINT (-73.97183990478516 40.76054000854492)
12901639,2015-02-09,14.12,POINT (-73.97141265869139 40.75898361206055)
12902525,2015-02-09,8.3,POINT (-73.97554016113281 40.76066970825195)
12902704,2015-02-09,40.36,POINT (-73.97615051269531 40.75445175170898)
12903021,2015-02-09,8.8,POINT (-73.9752655029297 40.75554275512695)
12904377,2015-02-09,9.8,POINT (-73.97149658203125 40.75721740722656)
12904811,2015-02-09,69.76,POINT (-73.97725677490234 40.75752639770508)
12906375,2015-02-09,7.3,POINT (-73.97669982910156 40.7604866027832)
12906384,2015-02-09,8.3,POINT (-73.97823333740234 40.76240539550781)
12906696,2015-02-09,12.36,POINT (-73.97244262695312 40.75766372680664)
12906705,2015-02-09,8.8,POINT (-73.97148132324219 40.75749206542969)
12906708,2015-02-09,8.3,POINT (-73.97238922119139 40.75928497314453)
12906713,2015-02-09,10.56,POINT (-73.97534942626955 40.75525665283203)
12909045,2015-02-09,12.8,POINT (-73.9793243408203 40.75944519042969)
12909048,2015-02-09,5.15,POINT (-73.973388671875 40.75963973999024)
12909072,2015-02-09,11.15,POINT (-73.97857666015625 40.76168441772461)
12909081,2015-02-09,35.13,POINT (-73.97405242919923 40.75600814819336)
12909180,2015-02-09,6.3,POINT (-73.97447204589844 40.75801467895508)
12909243,2015-02-09,9.96,POINT (-73.97842407226562 40.75771331787109)
12909443,2015-02-09,13.8,POINT (-73.9798126220703 40.76019287109375)
12909780,2015-02-09,13.8,POINT (-73.97914123535155 40.76160430908203)
12909800,2015-02-09,11.8,POINT (-73.97316741943358 40.7579345703125)
12911140,2015-02-09,12.8,POINT (-73.9771728515625 40.76052474975585)
12912155,2015-02-09,12.35,POINT (-73.97804260253906 40.75992584228516)
12912201,2015-02-09,29.76,POINT (-73.97235870361328 40.76163101196289)
12912316,2015-02-09,8.15,POINT (-73.97531127929686 40.75833892822266)
12912641,2015-02-09,8.5,POINT (-73.97541046142578 40.75579071044922)
12912936,2015-02-09,10.4,POINT (-73.97429656982422 40.75655364990234)
12913492,2015-02-09,10.55,POINT (-73.9724884033203 40.75848770141602)
