,taxi_date,total_amount,geometry
527492,2015-01-27,6.8,POINT (-73.97203063964845 40.75614166259766)
527494,2015-01-27,14.3,POINT (-73.97577667236328 40.76015090942383)
528529,2015-01-27,6.8,POINT (-73.97515869140625 40.75936508178711)
528530,2015-01-27,6.85,POINT (-73.9729766845703 40.75471115112305)
529059,2015-01-27,11.75,POINT (-73.97606658935547 40.75470352172852)
529062,2015-01-27,8.3,POINT (-73.9716796875 40.76040649414063)
529085,2015-01-27,15.35,POINT (-73.97431182861328 40.76307678222656)
529140,2015-01-27,7.8,POINT (-73.97194671630859 40.75712203979492)
529399,2015-01-27,7.8,POINT (-73.97527313232422 40.75801849365234)
529486,2015-01-27,9.95,POINT (-73.97585296630859 40.75522613525391)
529514,2015-01-27,43.21,POINT (-73.97557067871094 40.76017761230469)
529516,2015-01-27,23.3,POINT (-73.97133636474609 40.75801849365234)
529523,2015-01-27,14.15,POINT (-73.98099517822266 40.75907135009766)
529620,2015-01-27,10.3,POINT (-73.97869873046875 40.75866317749024)
529656,2015-01-27,9.36,POINT (-73.97683715820312 40.75575637817383)
529666,2015-01-27,11.3,POINT (-73.98055267333984 40.76020050048828)
530005,2015-01-27,11.3,POINT (-73.97889709472656 40.75552368164063)
530756,2015-01-27,8.5,POINT (-73.97913360595702 40.76054382324219)
541437,2015-01-27,11.62,POINT (-73.97534942626955 40.7573356628418)
541438,2015-01-27,7.8,POINT (-73.97968292236328 40.75555038452149)
541697,2015-01-27,12.2,POINT (-73.97489929199219 40.75579833984375)
544742,2015-01-27,13.8,POINT (-73.97886657714845 40.76227569580078)
544757,2015-01-27,24.96,POINT (-73.97367095947266 40.75447845458984)
553389,2015-01-27,4.3,POINT (-73.97859954833984 40.759033203125)
558412,2015-01-27,17.3,POINT (-73.97394561767578 40.75664901733398)
558414,2015-01-27,9.36,POINT (-73.97764587402342 40.7625732421875)
574677,2015-01-27,8.3,POINT (-73.97235870361328 40.75595092773438)
574723,2015-01-27,16.55,POINT (-73.9785614013672 40.76208114624024)
575413,2015-01-27,11.15,POINT (-73.97933197021484 40.7612533569336)
575420,2015-01-27,14.15,POINT (-73.97543334960938 40.75602340698241)
575422,2015-01-27,7.8,POINT (-73.97874450683594 40.75674057006836)
575521,2015-01-27,14.12,POINT (-73.97483825683594 40.75615692138672)
575528,2015-01-27,10.3,POINT (-73.97952270507811 40.75603866577149)
575546,2015-01-27,8.3,POINT (-73.97263336181641 40.75996017456055)
576230,2015-01-27,7.8,POINT (-73.97811126708984 40.7620506286621)
576688,2015-01-27,9.3,POINT (-73.97209167480467 40.76052856445313)
576690,2015-01-27,15.3,POINT (-73.97473907470702 40.76184463500977)
576730,2015-01-27,6.8,POINT (-73.97868347167969 40.75870895385742)
576858,2015-01-27,11.0,POINT (-73.97486877441406 40.75910568237305)
576906,2015-01-27,10.8,POINT (-73.97414398193358 40.75397491455078)
577690,2015-01-27,8.8,POINT (-73.97768402099609 40.76080703735352)
581076,2015-01-27,7.8,POINT (-73.9732666015625 40.75547027587891)
600585,2015-01-27,10.3,POINT (-73.97853851318358 40.76264190673828)
600590,2015-01-27,15.96,POINT (-73.97693634033203 40.75893783569336)
604540,2015-01-27,9.36,POINT (-73.97267913818358 40.75904083251953)
615553,2015-01-27,6.8,POINT (-73.97911071777342 40.76182174682617)
624616,2015-01-27,13.5,POINT (-73.97870635986328 40.76267623901367)
624629,2015-01-27,14.76,POINT (-73.9794921875 40.76076126098633)
640328,2015-01-27,8.8,POINT (-73.9720001220703 40.75684356689453)
642037,2015-01-27,7.8,POINT (-73.97298431396483 40.75544738769531)
642565,2015-01-27,11.8,POINT (-73.97991943359375 40.76144027709961)
642572,2015-01-27,17.0,POINT (-73.97456359863281 40.75989532470703)
642575,2015-01-27,9.35,POINT (-73.97772979736328 40.75857925415039)
642973,2015-01-27,13.3,POINT (-73.97592163085938 40.75594329833984)
642980,2015-01-27,6.96,POINT (-73.9730911254883 40.75563049316406)
643183,2015-01-27,8.75,POINT (-73.97357940673827 40.76226043701172)
643345,2015-01-27,15.36,POINT (-73.97950744628906 40.76061630249024)
643349,2015-01-27,11.0,POINT (-73.97215270996094 40.75870132446289)
643351,2015-01-27,12.8,POINT (-73.97764587402342 40.75838851928711)
643464,2015-01-27,12.96,POINT (-73.97866821289062 40.75654983520508)
643668,2015-01-27,10.0,POINT (-73.97632598876955 40.75953674316406)
643669,2015-01-27,6.3,POINT (-73.97846984863281 40.75537109375)
643724,2015-01-27,7.8,POINT (-73.97351837158203 40.76256942749024)
643754,2015-01-27,8.8,POINT (-73.97782135009766 40.76286315917969)
643766,2015-01-27,18.35,POINT (-73.97273254394531 40.76007080078125)
643777,2015-01-27,12.35,POINT (-73.97283935546875 40.75614166259766)
643940,2015-01-27,15.96,POINT (-73.97518920898438 40.7554817199707)
648327,2015-01-27,9.8,POINT (-73.97870635986328 40.75685119628906)
648330,2015-01-27,15.8,POINT (-73.98027038574219 40.75917816162109)
651150,2015-01-27,12.3,POINT (-73.9752655029297 40.75804138183594)
653887,2015-01-27,7.8,POINT (-73.97341156005859 40.75744247436523)
655048,2015-01-27,19.8,POINT (-73.9781494140625 40.75616836547852)
655052,2015-01-27,7.3,POINT (-73.97601318359375 40.76046371459961)
663069,2015-01-27,5.3,POINT (-73.9750442504883 40.75772857666016)
