,taxi_date,total_amount,geometry
108505357,2015-09-24,34.8,POINT (-73.97215270996094 40.75778579711913)
108505408,2015-09-24,7.8,POINT (-73.97902679443358 40.76202392578125)
108505459,2015-09-24,33.54,POINT (-73.97312927246094 40.76068878173828)
108505533,2015-09-24,8.3,POINT (-73.97319793701173 40.75526809692383)
108505547,2015-09-24,6.8,POINT (-73.97738647460938 40.75630950927734)
108505561,2015-09-24,9.49,POINT (-73.97277069091797 40.7617416381836)
108505586,2015-09-24,5.3,POINT (-73.9785614013672 40.75419998168945)
108505644,2015-09-24,5.3,POINT (-73.97655487060547 40.756103515625)
108505650,2015-09-24,4.8,POINT (-73.98046875 40.76108932495117)
108505747,2015-09-24,5.38,POINT (-73.97138214111328 40.75777435302734)
108505750,2015-09-24,20.15,POINT (-73.9798126220703 40.7607536315918)
108505760,2015-09-24,6.0,POINT (-73.97728729248048 40.75446319580078)
108505770,2015-09-24,8.3,POINT (-73.97674560546875 40.76323699951172)
108505780,2015-09-24,13.8,POINT (-73.97588348388672 40.75430679321289)
108505840,2015-09-24,9.8,POINT (-73.97503662109375 40.7623405456543)
108505867,2015-09-24,9.3,POINT (-73.9725341796875 40.75589370727539)
108505925,2015-09-24,7.88,POINT (-73.97685241699219 40.75627899169922)
108505934,2015-09-24,8.5,POINT (-73.9783477783203 40.75490188598633)
108505952,2015-09-24,8.76,POINT (-73.974365234375 40.75986099243164)
108505997,2015-09-24,12.8,POINT (-73.97884368896483 40.75492858886719)
108506001,2015-09-24,19.8,POINT (-73.97531890869139 40.75835037231445)
108506003,2015-09-24,7.8,POINT (-73.97856903076173 40.76220703125)
108506007,2015-09-24,4.3,POINT (-73.97489166259766 40.75598526000977)
108506013,2015-09-24,4.8,POINT (-73.97892761230467 40.76210021972656)
108506028,2015-09-24,7.3,POINT (-73.97865295410156 40.75699234008789)
108506038,2015-09-24,9.8,POINT (-73.97496795654298 40.75563049316406)
108506100,2015-09-24,6.3,POINT (-73.97544097900391 40.75513076782227)
108506114,2015-09-24,16.55,POINT (-73.97222137451173 40.7569694519043)
108506147,2015-09-24,9.96,POINT (-73.97686004638672 40.7559814453125)
108506188,2015-09-24,10.3,POINT (-73.97430419921875 40.75662231445313)
108506217,2015-09-24,7.55,POINT (-73.98024749755859 40.76036834716797)
108506226,2015-09-24,8.3,POINT (-73.97796630859375 40.75390625)
108506228,2015-09-24,10.8,POINT (-73.97471618652342 40.75628662109375)
108506248,2015-09-24,14.76,POINT (-73.97901916503906 40.76200866699219)
108506285,2015-09-24,9.1,POINT (-73.97303771972656 40.75554275512695)
108506316,2015-09-24,7.0,POINT (-73.97705078125 40.75431823730469)
108506343,2015-09-24,9.1,POINT (-73.97698974609375 40.75593948364258)
108506348,2015-09-24,5.76,POINT (-73.97654724121094 40.75630187988281)
108506389,2015-09-24,4.8,POINT (-73.97425842285155 40.75682830810547)
108506424,2015-09-24,7.3,POINT (-73.97563934326173 40.75495147705078)
108506436,2015-09-24,11.75,POINT (-73.97208404541014 40.75681304931641)
108506457,2015-09-24,9.3,POINT (-73.97878265380859 40.7626838684082)
108506458,2015-09-24,4.3,POINT (-73.97525024414062 40.75567626953125)
108506474,2015-09-24,8.0,POINT (-73.97610473632812 40.75485610961913)
108506511,2015-09-24,20.16,POINT (-73.97274780273438 40.75959014892577)
108506514,2015-09-24,12.3,POINT (-73.97673034667969 40.76020812988281)
