,taxi_date,km_score,total_amount_x,taxi_trip_count_x,holiday_x,weekend_x,total_amount_y,taxi_trip_count_y,holiday_y,weekend_y
52,2015-02-22,1.46458655725,12.6403779317,8229,0,0,-0.856899100879,-0.859610996531,-0.298842584326,-0.630377459427
55,2015-02-25,1.45193158663,13.6136601529,11770,0,0,0.418286675431,1.32445115221,-0.298842584326,-0.630377459427
54,2015-02-24,1.44539162528,13.0583949251,11744,0,0,-0.309216925486,1.3084145479,-0.298842584326,-0.630377459427
147,2015-05-28,1.43985939099,13.9975880375,11302,0,0,0.921305601364,1.03579227461,-0.298842584326,-0.630377459427
256,2015-09-14,1.43808441607,13.5895325651,7723,0,0,0.386674922755,-1.17170798813,-0.298842584326,-0.630377459427
248,2015-09-06,1.435669607,12.3829255319,6204,1,0,-1.19421096287,-2.10861575542,3.33707552497,-0.630377459427
153,2015-06-03,1.43473184782,14.0802033654,11113,0,0,1.02954747485,0.91921849711,-0.298842584326,-0.630377459427
101,2015-04-12,1.43373459582,13.1199961155,7723,0,0,-0.228507589459,-1.17170798813,-0.298842584326,-0.630377459427
255,2015-09-13,1.4323150205,13.0004010764,7804,0,0,-0.385199954209,-1.12174779778,-0.298842584326,-0.630377459427
41,2015-02-11,1.42669408737,13.4704403903,11785,0,0,0.230641406487,1.33370303932,-0.298842584326,-0.630377459427
19,2015-01-20,1.42648153129,12.5502413662,10482,1,0,-0.974995233544,0.530022446317,3.33707552497,-0.630377459427
14,2015-01-15,1.4228160803,13.0311179593,11682,0,0,-0.344954965357,1.27017341454,-0.298842584326,-0.630377459427
207,2015-07-27,1.42051430745,12.9635258939,7859,0,0,-0.433513492859,-1.08782421174,-0.298842584326,-0.630377459427
280,2015-10-08,1.41890859774,14.1643898383,10825,0,0,1.13984784865,0.741582264735,-0.298842584326,-0.630377459427
236,2015-08-25,1.41744509,13.3141002988,7697,0,0,0.0258059984115,-1.18774459245,-0.298842584326,-0.630377459427
118,2015-04-29,1.4139869324,13.9562739726,11315,0,0,0.867176278143,1.04381057676,-0.298842584326,-0.630377459427
18,2015-01-19,1.4131232975,11.6879969526,8532,1,0,-2.10470025417,-0.672722877054,3.33707552497,-0.630377459427
243,2015-09-01,1.40039861135,13.2102116675,7748,0,0,-0.110307969411,-1.1562881763,-0.298842584326,-0.630377459427
35,2015-02-05,1.39942179243,13.4502989779,11740,0,0,0.204252305628,1.30594737801,-0.298842584326,-0.630377459427
146,2015-05-27,1.39701263182,13.8967185439,11373,0,0,0.789147281103,1.07958454023,-0.298842584326,-0.630377459427
11,2015-01-12,1.37675662794,12.4206962797,9838,0,0,-1.14472406244,0.132808093368,-0.298842584326,-0.630377459427
196,2015-07-16,1.37531221496,14.2203313154,9085,0,0,1.21314187812,-0.331636639196,-0.298842584326,-0.630377459427
